kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
selfishness_gap_vs_so,mixed|d0000e0700h0300,0.5,7.999009103353097,-0.12869049859376236,-0.14645925462745385,-0.11228121557415796,28,paired
toll_gap,mixed|d0000e0700h0300,0.17,-0.3210065192419437,-0.0006357574842220381,-0.04670317919063039,0.034597516448505665,8,paired
toll_gap,mixed|d0000e0700h0300,0.28,-19.720327806647724,-0.039056359428447686,-0.07016342691752644,-0.007742558698572328,14,paired
toll_gap,mixed|d0000e0700h0300,0.5,-27.63947209578895,-0.05474032516953318,-0.07517261719223613,-0.03427119043898198,15,paired
toll_direct,mixed|d0000e0700h0300,0.17,-0.0716043763254525,0.001294704110610772,-0.020978661328691917,0.024631261835128256,18,paired
toll_direct,mixed|d0000e0700h0300,0.28,-1.6163202226023579,0.02922525889695844,0.013037857462953223,0.045340361019554284,27,paired
toll_direct,mixed|d0000e0700h0300,0.5,-3.64496824314673,0.06590596287018177,0.048219135091621866,0.08421033143939735,23,paired
second_best_toll,mixed|d0000e0700h0300,0.5,-3.64496824314673,0.06590596287018177,0.048350253119079055,0.08476758392445993,23,paired
selfishness_gap,mixed|d0000e0750h0250,0.0,111.9240679823993,1.119240679823993,1.109794847233404,1.128549968333313,24,paired
selfishness_gap_vs_so,mixed|d0000e0750h0250,0.0,11.943396791275996,-0.19229874218973886,-0.20723229297075912,-0.17835398849495593,24,paired
selfishness_gap,mixed|d0000e0750h0250,0.17,111.54037287886452,1.1154037287886451,1.105810225652406,1.1244916206617268,28,paired
selfishness_gap_vs_so,mixed|d0000e0750h0250,0.17,11.559770913849059,-0.18655036322964033,-0.2006497315254965,-0.1719803310778847,28,paired
selfishness_gap,mixed|d0000e0750h0250,0.28,109.59521684920104,1.0959521684920104,1.082479723734091,1.1073305442410875,21,paired
selfishness_gap_vs_so,mixed|d0000e0750h0250,0.28,9.618322907595424,-0.15513456439842002,-0.17430999362591762,-0.1343571741986113,21,paired
selfishness_gap,mixed|d0000e0750h0250,0.5,108.2315955818985,1.082315955818985,1.0695030754128179,1.0953414012787606,28,paired
selfishness_gap_vs_so,mixed|d0000e0750h0250,0.5,8.228995242696815,-0.1323905857619831,-0.15215280365570735,-0.11210695086835008,28,paired
toll_gap,mixed|d0000e0750h0250,0.17,-3.9941929055618424,-0.007588867428072118,-0.028506342238726966,0.010726053024219494,19,paired
toll_gap,mixed|d0000e0750h0250,0.28,-32.7758457637549,-0.06227329381055202,-0.08886645070314782,-0.0355160111070211,12,paired
toll_gap,mixed|d0000e0750h0250,0.5,-24.03390628628394,-0.0456638256833672,-0.07956786988823783,-0.011343120931004395,16,paired
toll_direct,mixed|d0000e0750h0250,0.17,0.0106710625813634,-0.0001920878445346847,-0.013474252554201385,0.013298036816661921,26,paired
toll_direct,mixed|d0000e0750h0250,0.28,-1.9843350068944996,0.03571965129084483,0.01574026990597966,0.056280990689611364,21,paired
toll_direct,mixed|d0000e0750h0250,0.5,-2.794333293609018,0.050300282206037175,0.0321390600024263,0.06793460689680723,26,paired
second_best_toll,mixed|d0000e0750h0250,0.5,-2.794333293609018,0.050300282206037175,0.031398656762818576,0.06850685224436162,26,paired
selfishness_gap,mixed|d0000e0800h0200,0.0,113.31142517992284,1.1331142517992283,1.1214698781349655,1.1454555550871406,25,paired
selfishness_gap_vs_so,mixed|d0000e0800h0200,0.0,13.32153967275124,-0.21448800269048773,-0.23070680351926964,-0.19739638915426835,25,paired
selfishness_gap,mixed|d0000e0800h0200,0.17,111.8740490512468,1.118740490512468,1.1088505138010838,1.1288915973363574,27,paired
selfishness_gap_vs_so,mixed|d0000e0800h0200,0.17,11.881096294960075,-0.19173587832400507,-0.20821213586350829,-0.1750026827621306,27,paired
selfishness_gap,mixed|d0000e0800h0200,0.28,110.785534074366,1.10785534074366,1.0964544005194576,1.117710680565371,24,paired
